year,ipo_count,avg_first_day_return_pct,ipo_gross_proceeds_usd_m,cape,shiller_trailing_pe,forward_pe,sp500_year_end_close,sp500_forward_1y_return_pct,sp500_forward_3y_return_pct,sp500_forward_5y_return_pct,ipo_count_percentile_full,ipo_count_percentile_expanding,ipo_gross_proceeds_usd_m_percentile_full,ipo_gross_proceeds_usd_m_percentile_expanding,avg_first_day_return_pct_percentile_full,avg_first_day_return_pct_percentile_expanding,cape_percentile_full,cape_percentile_expanding,shiller_trailing_pe_percentile_full,shiller_trailing_pe_percentile_expanding,forward_pe_percentile_full,forward_pe_percentile_expanding,high_ipo_count_full_sample,high_cape_full_sample,high_forward_pe_full_sample,complete_ipo_year,valuation_data_basis
1970,358.0,-0.7,780.0,17.09,15.76,,92.1500015258789,10.786754907671071,5.860012410702353,-2.1269658730523444,0.7727272727272727,0.7272727272727273,0.22727272727272727,0.7272727272727273,0.06060606060606061,0.18181818181818182,0.31343283582089554,0.09090909090909091,0.31343283582089554,0.18181818181818182,,,True,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1971,391.0,21.2,1655.0,16.46,18.12,,102.08999633789062,15.633271903589673,-32.843569381980906,5.260067527878798,0.8181818181818182,0.8333333333333334,0.30303030303030304,0.9166666666666666,0.8333333333333334,0.75,0.2835820895522388,0.08333333333333333,0.5223880597014925,0.6666666666666666,,,True,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1972,562.0,7.5,2724.0,17.26,18.01,,118.05000305175781,-17.36552263451614,-23.600169326667984,-19.440918241717053,0.9696969696969697,0.9230769230769231,0.36363636363636365,1.0,0.2727272727272727,0.46153846153846156,0.3283582089552239,0.23076923076923078,0.4552238805970149,0.6153846153846154,,,True,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1973,105.0,-17.8,330.0,18.71,18.09,,97.55000305175781,-29.7180979869192,10.158888490712625,-1.4761685252251744,0.3939393939393939,0.35714285714285715,0.13636363636363635,0.21428571428571427,0.015151515151515152,0.07142857142857142,0.373134328358209,0.42857142857142855,0.5074626865671642,0.6428571428571429,,,False,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1974,9.0,-7.0,51.0,13.53,11.68,,68.55999755859375,31.549016413436636,38.71062115024921,57.438748957301215,0.015151515151515152,0.06666666666666667,0.015151515151515152,0.06666666666666667,0.030303030303030304,0.13333333333333333,0.19402985074626866,0.06666666666666667,0.16417910447761194,0.06666666666666667,,,False,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1975,12.0,-0.2,261.0,8.92,8.3,,90.19000244140625,19.148460112623034,6.563918404139479,50.52665576213411,0.030303030303030304,0.125,0.09090909090909091,0.1875,0.07575757575757576,0.3125,0.05970149253731343,0.0625,0.07462686567164178,0.0625,,,False,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1976,26.0,1.9,215.0,11.19,11.82,,107.45999908447266,-11.501954881495536,0.44668096130939805,14.042438205702146,0.09090909090909091,0.17647058823529413,0.06060606060606061,0.11764705882352941,0.09090909090909091,0.35294117647058826,0.14925373134328357,0.11764705882352941,0.1865671641791045,0.17647058823529413,,,False,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1977,15.0,3.6,128.0,11.44,10.41,,95.0999984741211,1.0620422212785918,42.75499125668163,47.8864370622675,0.045454545454545456,0.16666666666666666,0.030303030303030304,0.1111111111111111,0.12121212121212122,0.3888888888888889,0.16417910447761194,0.16666666666666666,0.11940298507462686,0.1111111111111111,,,False,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1978,19.0,13.3,197.0,9.24,8.28,,96.11000061035156,12.308814645643174,27.510146991465657,71.60544337569945,0.06060606060606061,0.21052631578947367,0.045454545454545456,0.15789473684210525,0.5909090909090909,0.7368421052631579,0.07462686567164178,0.10526315789473684,0.05970149253731343,0.05263157894736842,,,False,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1979,39.0,8.9,309.0,9.26,7.88,,107.94000244140625,25.773569979796317,30.29460460313862,54.937930063460946,0.11363636363636363,0.3,0.12121212121212122,0.4,0.3181818181818182,0.6,0.09701492537313433,0.15,0.04477611940298507,0.05,,,False,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1980,71.0,14.3,905.0,8.85,7.39,,135.75999450683594,-9.730400699458608,21.48644619124267,55.62758347685279,0.19696969696969696,0.3333333333333333,0.24242424242424243,0.7619047619047619,0.6818181818181818,0.7619047619047619,0.04477611940298507,0.047619047619047616,0.014925373134328358,0.047619047619047616,,,False,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1981,192.0,5.9,2306.0,9.26,9.02,,122.55000305175781,14.761318553578896,36.46674935008518,97.60913271186713,0.6212121212121212,0.6363636363636364,0.3181818181818182,0.9090909090909091,0.21212121212121213,0.45454545454545453,0.09701492537313433,0.20454545454545456,0.08955223880597014,0.22727272727272727,,,False,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1982,79.0,10.7,1012.0,7.39,7.73,,140.63999938964844,17.27104194507032,50.22753106954847,75.68259592102969,0.23484848484848486,0.34782608695652173,0.25757575757575757,0.7391304347826086,0.42424242424242425,0.6086956521739131,0.014925373134328358,0.043478260869565216,0.029850746268656716,0.08695652173913043,,,False,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1983,521.0,9.0,11306.0,8.76,11.48,,164.92999267578125,1.4006020250809215,46.831994739126785,68.38659646741394,0.9393939393939394,0.9166666666666666,0.4696969696969697,1.0,0.3333333333333333,0.5833333333333334,0.029850746268656716,0.08333333333333333,0.13432835820895522,0.3333333333333333,,,True,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1984,213.0,3.0,2566.0,9.89,11.52,,167.24000549316406,26.3334081796194,47.7397714156103,111.31307240415609,0.6363636363636364,0.64,0.3333333333333333,0.88,0.10606060606060606,0.28,0.11940298507462686,0.32,0.14925373134328357,0.36,,,False,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1985,217.0,6.6,4749.0,10.0,10.36,,211.27999877929688,14.620408731597978,31.44642314713826,56.29496550956108,0.6515151515151515,0.6538461538461539,0.4090909090909091,0.9615384615384616,0.24242424242424243,0.46153846153846156,0.13432835820895522,0.34615384615384615,0.1044776119402985,0.2692307692307692,,,False,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1986,478.0,6.1,15489.0,11.72,14.28,,242.1699981689453,2.0275028695685204,45.93054324175267,72.23025126626779,0.8939393939393939,0.8888888888888888,0.5454545454545454,1.0,0.22727272727272727,0.4444444444444444,0.1791044776119403,0.4444444444444444,0.22388059701492538,0.48148148148148145,,,True,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1987,337.0,5.7,12568.0,14.92,18.01,,247.0800018310547,12.40084149367906,33.64902006375121,76.34368958480198,0.7575757575757576,0.7142857142857143,0.5,0.9642857142857143,0.1893939393939394,0.39285714285714285,0.22388059701492538,0.5,0.4552238805970149,0.7678571428571429,,,True,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1988,132.0,5.3,4089.0,13.9,14.02,,277.7200012207031,27.250465340319007,50.18363621798729,67.95693869968878,0.48484848484848486,0.4827586206896552,0.3787878787878788,0.8620689655172413,0.1590909090909091,0.3620689655172414,0.208955223880597,0.4827586206896552,0.208955223880597,0.4482758620689655,,,False,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1989,124.0,7.7,5886.0,15.09,11.82,,353.3999938964844,-6.559137825727013,23.290888223021145,29.95755431399307,0.45454545454545453,0.4666666666666667,0.42424242424242425,0.9,0.2878787878787879,0.6,0.23880597014925373,0.5333333333333333,0.1865671641791045,0.4166666666666667,,,False,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1990,116.0,10.4,4334.0,17.05,15.13,13.9,330.2200012207031,26.30670304526097,41.25431847941839,86.52110423321189,0.4090909090909091,0.45161290322580644,0.3939393939393939,0.8387096774193549,0.4090909090909091,0.6774193548387096,0.29850746268656714,0.5806451612903226,0.26865671641791045,0.5161290322580645,0.13513513513513514,1.0,False,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1991,293.0,11.8,16464.0,15.61,15.35,18.97,417.0899963378906,4.464263175974903,10.112923600692314,77.59716050209242,0.696969696969697,0.6875,0.5606060606060606,1.0,0.45454545454545453,0.71875,0.26865671641791045,0.53125,0.29850746268656714,0.5625,0.7027027027027027,1.0,False,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1992,416.0,10.2,22750.0,19.77,25.93,18.17,435.7099914550781,7.055156263296847,41.36237514748016,122.72383275742094,0.8484848484848485,0.8484848484848485,0.6363636363636364,1.0,0.3939393939393939,0.6363636363636364,0.40298507462686567,0.7878787878787878,0.8656716417910447,1.0,0.6216216216216216,0.6666666666666666,True,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1993,527.0,12.7,31654.0,20.32,22.5,17.45,466.45001220703125,-1.539291029147316,58.80372405384389,163.52877013607258,0.9545454545454546,0.9411764705882353,0.7575757575757576,1.0,0.5681818181818182,0.7794117647058824,0.43283582089552236,0.7941176470588235,0.7313432835820896,0.9705882352941176,0.5675675675675675,0.5,True,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1994,410.0,9.6,17418.0,21.41,21.34,15.39,459.2699890136719,34.11065547708709,111.29836825608321,219.9098645995487,0.8333333333333334,0.8,0.5757575757575758,0.9428571428571428,0.36363636363636365,0.6,0.5223880597014925,0.8857142857142857,0.6865671641791045,0.9428571428571428,0.32432432432432434,0.4,True,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1995,465.0,21.3,27993.0,20.22,14.89,16.99,615.9299926757812,20.263666170303285,99.57300262788196,114.35553471932577,0.8787878787878788,0.8611111111111112,0.696969696969697,0.9722222222222222,0.8484848484848485,0.9166666666666666,0.417910447761194,0.75,0.2537313432835821,0.4444444444444444,0.5135135135135135,0.5,True,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1996,689.0,17.1,42428.0,24.76,18.08,16.68,740.739990234375,31.008181746570852,98.34895096390295,54.99095110167165,0.9848484848484849,0.972972972972973,0.9242424242424242,1.0,0.7272727272727273,0.8378378378378378,0.6716417910447762,1.0,0.4925373134328358,0.7567567567567568,0.4594594594594595,0.42857142857142855,True,False,False,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1997,485.0,14.0,32547.0,28.33,19.53,19.93,970.4299926757812,26.66858915596535,36.051032971110764,-9.337096548481794,0.9242424242424242,0.868421052631579,0.803030303030303,0.9736842105263158,0.6439393939393939,0.7894736842105263,0.7910447761194029,1.0,0.5970149253731343,0.8947368421052632,0.7567567567567568,1.0,True,True,True,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1998,310.0,20.6,34416.0,32.86,24.29,24.25,1229.22998046875,19.526046658878403,-6.601695834258536,-9.543367668164338,0.7272727272727273,0.6153846153846154,0.8333333333333334,0.9743589743589743,0.8106060606060606,0.8717948717948718,0.8805970149253731,1.0,0.8059701492537313,0.9743589743589743,0.972972972972973,1.0,False,True,True,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
1999,484.0,70.0,64809.0,40.57,32.92,25.12,1469.25,-10.139184665858437,-40.11774665140591,-17.514375093053424,0.9090909090909091,0.85,0.9696969696969697,1.0,1.0,1.0,0.9701492537313433,1.0,0.9552238805970149,1.0,1.0,1.0,True,True,True,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
2000,382.0,56.1,64931.0,43.77,29.04,21.57,1320.280029296875,-13.042693172742602,-15.781499434065227,-5.452630399379277,0.803030303030303,0.6829268292682927,0.9848484848484849,1.0,0.9848484848484849,0.975609756097561,1.0,1.0,0.9104477611940298,0.975609756097561,0.8783783783783784,0.8181818181818182,True,True,True,True,Ritter Table 8 IPO data plus Shiller/multpl annual valuation proxies.
