date,sp500_close,running_peak_close,running_peak_date,drawdown_from_peak_pct,source
1959-04-22,57.72999954223633,58.16999816894531,1959-04-20,-0.7564013074765397,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-04-23,57.599998474121094,58.16999816894531,1959-04-20,-0.9798860456703973,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-04-24,57.959999084472656,58.16999816894531,1959-04-20,-0.3610092678063115,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-04-27,58.13999938964844,58.16999816894531,1959-04-20,-0.05157087887427414,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-04-28,57.91999816894531,58.16999816894531,1959-04-20,-0.4297748115341449,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-04-29,57.689998626708984,58.16999816894531,1959-04-20,-0.825166851204373,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-04-30,57.59000015258789,58.16999816894531,1959-04-20,-0.9970741526807547,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-05-01,57.650001525878906,58.16999816894531,1959-04-20,-0.8939258370890046,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-05-04,57.650001525878906,58.16999816894531,1959-04-20,-0.8939258370890046,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-05-05,57.75,58.16999816894531,1959-04-20,-0.7220185356126341,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-05-06,57.61000061035156,58.16999816894531,1959-04-20,-0.962691380816838,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-05-07,56.880001068115234,58.16999816894531,1959-04-20,-2.217633043555356,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-05-08,57.31999969482422,58.16999816894531,1959-04-20,-1.4612317360788163,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-05-11,57.959999084472656,58.16999816894531,1959-04-20,-0.3610092678063115,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-05-12,57.959999084472656,58.16999816894531,1959-04-20,-0.3610092678063115,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-05-13,57.970001220703125,58.16999816894531,1959-04-20,-0.34381460295276334,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-05-14,58.369998931884766,58.369998931884766,1959-05-14,0.0,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-05-15,58.15999984741211,58.369998931884766,1959-05-14,-0.35977229452704984,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-05-18,58.150001525878906,58.369998931884766,1959-05-14,-0.3769015076779181,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-05-19,58.31999969482422,58.369998931884766,1959-05-14,-0.08565913650074863,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-05-20,58.09000015258789,58.369998931884766,1959-05-14,-0.4796963927027331,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-05-21,58.13999938964844,58.369998931884766,1959-05-14,-0.3940372562019845,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-05-22,58.33000183105469,58.369998931884766,1959-05-14,-0.06852338797668223,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-05-25,58.18000030517578,58.369998931884766,1959-05-14,-0.3255073328521152,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-05-26,58.09000015258789,58.369998931884766,1959-05-14,-0.4796963927027331,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-05-27,58.189998626708984,58.369998931884766,1959-05-14,-0.30837811970124696,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-05-28,58.38999938964844,58.38999938964844,1959-05-28,0.0,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-05-29,58.68000030517578,58.68000030517578,1959-05-29,0.0,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-06-01,58.630001068115234,58.68000030517578,1959-05-29,-0.0852066066811763,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-06-02,58.22999954223633,58.68000030517578,1959-05-29,-0.7668724618253964,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-06-03,58.25,58.68000030517578,1959-05-29,-0.7327885189834515,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-06-04,57.630001068115234,58.68000030517578,1959-05-29,-1.7893647436943438,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-06-05,57.5099983215332,58.68000030517578,1959-05-29,-1.993868400746035,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-06-08,56.7599983215332,58.68000030517578,1959-05-29,-3.271987003505905,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-06-09,56.36000061035156,58.68000030517578,1959-05-29,-3.9536463578027425,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-06-10,57.189998626708984,58.68000030517578,1959-05-29,-2.5391984845224536,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-06-11,57.25,58.68000030517578,1959-05-29,-2.436946655996608,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-06-12,57.290000915527344,58.68000030517578,1959-05-29,-2.3687787703127072,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-06-15,56.9900016784668,58.68000030517578,1959-05-29,-2.880024911247181,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-06-16,56.560001373291016,58.68000030517578,1959-05-29,-3.6128134302306325,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-06-17,57.09000015258789,58.68000030517578,1959-05-29,-2.7096116978848173,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-06-18,57.04999923706055,58.68000030517578,1959-05-29,-2.777779583568718,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-06-19,57.130001068115234,58.68000030517578,1959-05-29,-2.6414438122009165,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-06-22,57.130001068115234,58.68000030517578,1959-05-29,-2.6414438122009165,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-06-23,57.119998931884766,58.68000030517578,1959-05-29,-2.658489034045586,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-06-24,57.40999984741211,58.68000030517578,1959-05-29,-2.1642816141083987,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-06-25,57.72999954223633,58.68000030517578,1959-05-29,-1.6189515303319801,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-06-26,57.97999954223633,58.68000030517578,1959-05-29,-1.1929119960786938,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
1959-06-29,58.369998931884766,58.68000030517578,1959-05-29,-0.528291362779143,Yahoo Finance ^GSPC via yfinance; fallback has exact case dates only if endpoint is unavailable.
