ticker,ipo_date
EHC,2018-01-02
SLS,2018-01-02
CUE,2018-01-02
RCKT,2018-01-05
LBRT,2018-01-12
ADT,2018-01-19
COLD,2018-01-19
NINE,2018-01-19
GTES,2018-01-25
LAC,2018-01-25
SLDB,2018-01-26
VICI,2018-02-01
OSS,2018-02-01
PRPL,2018-02-05
VCTR,2018-02-08
WHD,2018-02-08
EOLS,2018-02-08
CDLX,2018-02-09
AMR,2018-02-12
BLNK,2018-02-14
NEWTI,2018-02-22
CRON,2018-02-27
BKNG,2018-02-27
WELL,2018-02-28
BTAI,2018-03-08
GLIBA,2018-03-12
COCP,2018-03-12
BWB,2018-03-14
RCUS,2018-03-15
AIHS,2018-03-16
CBRE,2018-03-20
SIGA,2018-03-22
OXSQ,2018-03-23
DBX,2018-03-23
RDVT,2018-03-27
UAVS,2018-03-27
RFL,2018-03-27
OPBK,2018-03-28
GNPX,2018-03-29
VTSI,2018-03-29
EYPT,2018-04-02
SPOT,2018-04-03
HSDT,2018-04-11
BFST,2018-04-11
FLNT,2018-04-16
NRC,2018-04-18
EAF,2018-04-19
CLBK,2018-04-20
BHR,2018-04-24
LASR,2018-04-26
GSHD,2018-04-27
NVT,2018-05-01
BH.A,2018-05-01
INSP,2018-05-03
BCML,2018-05-04
JRSH,2018-05-04
ROAD,2018-05-04
AMRX,2018-05-07
TALO,2018-05-10
EQH,2018-05-10
PS,2018-05-17
CGC,2018-05-24
SRRK,2018-05-24
KNSA,2018-05-24
JEF,2018-05-24
HWC,2018-05-25
WH,2018-06-01
ONCY,2018-06-01
OSPN,2018-06-04
BKTI,2018-06-05
EVRG,2018-06-05
MGTX,2018-06-08
TDAC,2018-06-13
GRNQ,2018-06-13
VRCA,2018-06-15
EPRT,2018-06-21
XERS,2018-06-21
IIIV,2018-06-21
OPRX,2018-06-22
ECOR,2018-06-22
LOVE,2018-06-27
STIM,2018-06-28
BJ,2018-06-28
ENTX,2018-06-28
DOMO,2018-06-29
LFAC,2018-06-29
AVNS,2018-07-02
TGE,2018-07-02
KDP,2018-07-10
TWLV,2018-07-13
BHC,2018-07-16
TBRG,2018-07-17
CRNX,2018-07-18
CCB,2018-07-18
TLRY,2018-07-19
MYFW,2018-07-19
ESTA,2018-07-19
REPL,2018-07-20
BE,2018-07-25
AQST,2018-07-25
TENB,2018-07-26
LQDA,2018-07-26
ADIL,2018-07-27
PRTH,2018-07-27
IMXI,2018-07-27
ITP,2018-08-01
MGY,2018-08-01
CWK,2018-08-02
SONO,2018-08-02
ARLO,2018-08-03
BBDC,2018-08-03
AMAL,2018-08-09
PCB,2018-08-10
ASRT,2018-08-15
HFFG,2018-08-23
AEYE,2018-09-04
FVCB,2018-09-14
BHFAL,2018-09-14
KLXE,2018-09-17
CWEN,2018-09-17
BSVN,2018-09-20
ELAN,2018-09-20
BNGO,2018-09-21
ARVN,2018-09-27
STRO,2018-09-27
RC,2018-10-01
GTX,2018-10-01
AX,2018-10-01
PLAG,2018-10-01
FTDR,2018-10-01
ANIX,2018-10-01
RAMP,2018-10-02
UPWK,2018-10-03
KOD,2018-10-04
ESTC,2018-10-05
ALLO,2018-10-11
SITC,2018-10-12
EQ,2018-10-12
SIBN,2018-10-17
MRKR,2018-10-18
VRRM,2018-10-18
ET,2018-10-19
AMTB,2018-10-24
BFC,2018-10-25
YETI,2018-10-25
GRAF,2018-10-26
REZI,2018-10-29
TWST,2018-10-31
LIN,2018-10-31
ACA,2018-11-01
SINT,2018-11-05
SG,2018-11-06
ETON,2018-11-13
CREX,2018-11-15
BCSF,2018-11-15
PHIO,2018-11-19
MDRR,2018-11-28
CBAT,2018-11-30
OTLK,2018-12-04
BBCP,2018-12-07
MRNA,2018-12-07
DMAC,2018-12-07
LEGH,2018-12-14
DTSS,2018-12-19
FSK,2018-12-20
PHUN,2018-12-28
DELL,2018-12-28
HROW,2019-01-02
CPRI,2019-01-02
APYX,2019-01-02
ORGO,2019-01-08
RBKB,2019-01-17
AMCI,2019-01-23
NFE,2019-01-31
INMB,2019-02-04
GOSS,2019-02-08
HOTH,2019-02-15
AREC,2019-02-15
EPSN,2019-02-19
VFF,2019-02-21
XFOR,2019-03-14
PDSB,2019-03-18
TH,2019-03-18
LEVI,2019-03-21
OSW,2019-03-21
CARE,2019-03-25
DTIL,2019-03-28
DBI,2019-04-02
CYCN,2019-04-02
TW,2019-04-04
PD,2019-04-11
IMUX,2019-04-15
PLMR,2019-04-17
DYAI,2019-04-17
ZM,2019-04-18
GNLN,2019-04-18
PINS,2019-04-18
FXNC,2019-04-18
WW,2019-04-22
MNSB,2019-04-22
PAYS,2019-04-29
REKR,2019-04-30
FRAF,2019-05-01
YCBD,2019-05-01
TMDX,2019-05-02
BYND,2019-05-02
RRBI,2019-05-03
TRVI,2019-05-07
PSN,2019-05-08
NXTC,2019-05-09
MIST,2019-05-09
MEC,2019-05-09
SPFI,2019-05-09
ARMP,2019-05-10
SONM,2019-05-10
PSTL,2019-05-15
AVTR,2019-05-17
FSLY,2019-05-17
AUB,2019-05-20
KTB,2019-05-23
IDYA,2019-05-23
CTVA,2019-06-03
PACK,2019-06-03
RVLV,2019-06-07
EDSA,2019-06-10
AMCR,2019-06-11
CHWY,2019-06-14
ATEX,2019-06-17
HLIO,2019-06-17
INBKZ,2019-06-17
STOK,2019-06-19
PSNL,2019-06-20
GO,2019-06-20
ARTL,2019-06-21
BBIO,2019-06-27
REAL,2019-06-28
LHX,2019-07-01
USIO,2019-07-01
GIX,2019-07-01
RMBI,2019-07-02
RPAY,2019-07-12
XAIR,2019-07-15
FSEA,2019-07-17
PHR,2019-07-18
PBFS,2019-07-18
FULC,2019-07-18
MIRM,2019-07-18
IHRT,2019-07-18
XPEL,2019-07-19
HCAT,2019-07-25
CSTL,2019-07-25
SLNG,2019-07-29
PSTV,2019-07-29
XCUR,2019-07-31
SSSS,2019-08-01
DT,2019-08-01
KRUS,2019-08-01
BCDA,2019-08-02
AMPY,2019-08-07
GL,2019-08-09
VMD,2019-08-09
LCTX,2019-08-12
NEPH,2019-08-14
UI,2019-08-20
AIM,2019-09-03
ICMB,2019-09-03
JAN,2019-09-11
TXG,2019-09-12
HQI,2019-09-12
ALRS,2019-09-13
NVST,2019-09-18
DDOG,2019-09-19
XGN,2019-09-19
RILYN,2019-09-24
SVC,2019-09-25
OPRT,2019-09-26
PTON,2019-09-26
OCGN,2019-09-30
PNTG,2019-10-01
FITBO,2019-10-02
CRNC,2019-10-02
MCBS,2019-10-03
APRE,2019-10-03
AGNCO,2019-10-04
EPAC,2019-10-07
RLMD,2019-10-10
VIR,2019-10-11
HBT,2019-10-11
FRHC,2019-10-15
BRBR,2019-10-17
BKR,2019-10-18
GNSS,2019-10-23
KRMD,2019-10-24
CABA,2019-10-25
