tyear,doy_rank,cum_ret_pct
2.0,66,0.2192887993166104
2.0,67,0.47967395420332165
2.0,68,0.23750313534297687
2.0,69,0.635948129205757
2.0,70,0.9829953486716849
2.0,71,0.9891663762361722
2.0,72,1.2247390172233406
2.0,73,0.8948179343228702
2.0,74,0.7936627088079582
2.0,75,0.7275870485221811
2.0,76,0.7671164185209634
2.0,77,0.7029403445962517
2.0,78,0.28631637001082527
2.0,79,0.16326734981235927
2.0,80,0.3371919275115109
2.0,81,0.2466358887673741
2.0,82,0.250417017281193
2.0,83,0.00843429400713665
2.0,84,-0.061880899284481414
2.0,85,0.13253316118670183
2.0,86,-0.014871235414839513
2.0,87,0.08132879646996831
2.0,88,0.05525098073661627
2.0,89,0.14103735405426654
2.0,90,-0.016306263671476993
2.0,91,-0.15469716868088756
2.0,92,-0.3880102513919693
2.0,93,-0.48612068748766346
2.0,94,-0.9710793743086955
2.0,95,-1.0944966929616355
2.0,96,-1.0000996267037723
2.0,97,-1.0709527608283094
2.0,98,-1.1603582218074666
2.0,99,-1.3834548858912137
2.0,100,-1.2236414054177085
2.0,101,-1.0890894434453045
2.0,102,-1.2770048952898463
2.0,103,-0.6354049953537537
2.0,104,-0.2057462148609417
2.0,105,-0.9732370606124363
2.0,106,-1.051347153259632
2.0,107,-1.1232788747112725
2.0,108,-1.2625811744782125
2.0,109,-1.197258617037098
2.0,110,-1.3015852700684754
2.0,111,-1.6497106385226625
2.0,112,-1.941504551504069
2.0,113,-1.9963632250510386
2.0,114,-2.1968893818144193
2.0,115,-2.2342475319334523
2.0,116,-2.3308276307231637
2.0,117,-2.2820364390048167
2.0,118,-2.3960647024333293
2.0,119,-2.2087802208745115
2.0,120,-2.5721996568167294
2.0,121,-2.930454335485315
2.0,122,-3.1703796201115892
2.0,123,-3.125672179423214
2.0,124,-3.2223071640937824
2.0,125,-3.333598706297695
2.0,126,-3.29188889375523
2.0,127,-2.9075079940539696
2.0,128,-2.7453317303178193
2.0,129,-2.826813265743704
2.0,130,-2.6551294650388444
2.0,131,-2.431063845712433
2.0,132,-2.4591465379933375
2.0,133,-2.69037610226893
2.0,134,-3.0860080657586297
2.0,135,-3.019329007505508
2.0,136,-2.550618809740333
2.0,137,-2.6380293045966794
2.0,138,-2.4050455275316915
2.0,139,-1.9415734451092805
2.0,140,-1.8416010437390988
2.0,141,-2.0407473291903777
2.0,142,-2.3058895148285083
2.0,143,-2.307990850261239
2.0,144,-2.7017592153533583
2.0,145,-2.500065298940877
2.0,146,-2.4346335209252534
2.0,147,-2.046817328381803
2.0,148,-1.979001384669799
2.0,149,-1.8709669583694188
2.0,150,-2.0178983672100728
2.0,151,-1.7706931553931784
2.0,152,-1.7993331734419278
2.0,153,-2.091280502325103
2.0,154,-2.1858731132926774
2.0,155,-2.027984039936361
2.0,156,-1.7113731874753964
2.0,157,-1.6907306933097048
2.0,158,-2.4288188575295506
2.0,159,-2.2289441899876876
2.0,160,-2.308117014244517
2.0,161,-2.5133369068669102
2.0,162,-2.0559533185594314
2.0,163,-2.342479199274488
2.0,164,-2.575976902209179
2.0,165,-2.8864556444485614
2.0,166,-3.2321111269187313
2.0,167,-3.0035726669355975
2.0,168,-2.774978086863802
2.0,169,-2.47124346364385
2.0,170,-2.526823848237614
2.0,171,-2.7699194357022705
2.0,172,-2.7619468042100337
2.0,173,-2.6835719735604604
2.0,174,-2.9856626452466033
2.0,175,-2.8968087918153933
2.0,176,-3.0185781682040065
2.0,177,-2.9598991396669336
2.0,178,-3.0331027415324323
2.0,179,-2.8149102060669833
2.0,180,-2.843349525202536
2.0,181,-3.2623130434990792
2.0,182,-3.6746642757722685
