event_class,anchor,event,series,pre60,pre20,post20,post60,post120
war,buildup,2021 Kabul falls / withdrawal,Europe,2.621666818874659,-3.320507972060838,0.2901676565848245,-2.818874335690654,-2.6225813070909774
war,buildup,2021 Kabul falls / withdrawal,Bonds,2.4950351904157624,1.6832104595765698,2.2927232276100984,-0.6182494257000409,0.7300339578247425
war,buildup,2021 Kabul falls / withdrawal,Gold,1.7185662403973674,-5.709312754242038,1.4292145449135902,-3.1635027349391747,0.8483330205661607
war,buildup,2021 Kabul falls / withdrawal,Cash,-0.02714698902920129,-0.018103414041236963,0.0,-0.027154360620545184,-0.06337395176691216
war,buildup,2021 Kabul falls / withdrawal,Credit,0.9126180426583305,0.9011649894104418,-0.8209866475192864,-0.7179895919942251,-1.3145230017088652
war,buildup,2021 Kabul falls / withdrawal,US_smallcap,2.9354647318161566,0.7840810047642804,-4.115113060369111,-3.50773363555431,-3.9651905670956897
war,buildup,2021 Kabul falls / withdrawal,VIX,16.95,16.42,0.9600000000000009,3.9800000000000004,
war,outbreak,2022 Russia invades Ukraine,SPX,-8.201621313558842,-1.4176091172101017,5.256372375996165,-9.465846442430935,-0.34241773481173476
war,outbreak,2022 Russia invades Ukraine,US,-8.114724913951726,-1.2223260617198057,5.036751947298791,-9.463627312760812,-0.31434626307602703
war,outbreak,2022 Russia invades Ukraine,EM,-5.252502025154056,-2.2337916932840285,-2.070741782240045,-11.812306619544206,-13.128655460252208
war,outbreak,2022 Russia invades Ukraine,China,-9.877047244243712,-4.51461628058212,-7.835198662953099,-15.58625313036664,-17.27871608096096
war,outbreak,2022 Russia invades Ukraine,Taiwan,-2.3126024156352525,-0.975314872279036,-1.5934053290202421,-15.19925845384497,-18.206864648357023
war,outbreak,2022 Russia invades Ukraine,Korea,-7.813504033051455,-0.663237081424336,0.4661380565377889,-6.5983630041750345,-15.200563276028193
war,outbreak,2022 Russia invades Ukraine,Japan,-7.802192929452839,-2.071455890741405,1.0251561613736537,-8.427804374922856,-8.919462565571864
war,outbreak,2022 Russia invades Ukraine,AsiaExJapan,-6.645600754866984,-2.477062145345647,-2.9081600121032456,-11.917553940205314,-13.208829553835951
war,outbreak,2022 Russia invades Ukraine,India,-10.446978769035246,-4.220810310567146,3.6576823500442384,-4.113447520436518,3.2502569246798347
war,outbreak,2022 Russia invades Ukraine,Europe,-5.488503389124574,-4.780755288730382,-0.8869135069510443,-7.98213019437063,-13.39769274649633
war,outbreak,2022 Russia invades Ukraine,Bonds,-5.695152711423003,-1.7548777212540356,-3.4794735467544946,-8.942293583900149,-10.458697002931766
war,outbreak,2022 Russia invades Ukraine,Gold,6.114452660051126,4.304176227199038,3.2986472798006026,-2.9248453748020555,-7.41933071132536
war,outbreak,2022 Russia invades Ukraine,Cash,-0.13591405489842548,-0.054385025596922064,-0.0453480731796087,-0.054414619002124645,-0.21784329160283952
war,outbreak,2022 Russia invades Ukraine,Credit,-3.3821369770266925,-1.9887505103593912,-1.490479824679004,-8.37582101889128,-6.870076515750273
war,outbreak,2022 Russia invades Ukraine,US_smallcap,-11.74015102673386,1.0507404071657007,3.8630153590789957,-11.753054897445118,-0.21736021822717153
war,outbreak,2022 Russia invades Ukraine,VIX,22.96,31.96,-3.4299999999999997,-9.349999999999998,
war,buildup,2022 Russia invades Ukraine,SPX,4.368687393398025,6.281624124681509,0.4453491953434937,-3.5672894942259794,-7.750489526192266
war,buildup,2022 Russia invades Ukraine,US,4.299117500346352,6.37454905300407,0.5804300835424383,-3.5618514825105065,-7.769340334406645
war,buildup,2022 Russia invades Ukraine,EM,1.5211247150552771,-0.2719221470629831,-1.8326197687268848,-5.1292580765032465,-16.640235808594497
war,buildup,2022 Russia invades Ukraine,China,0.8037810897404629,-2.1379134171080967,-3.0836630855880536,-7.619927569615258,-25.6020145990596
war,buildup,2022 Russia invades Ukraine,Taiwan,6.285544783437789,6.831771128810356,3.3084778800446717,0.38678781374477483,-11.81706860229684
war,buildup,2022 Russia invades Ukraine,Korea,-7.722784383244337,-0.7179486718152646,3.836917968056582,-6.3201306997931725,-12.978866544160612
war,buildup,2022 Russia invades Ukraine,Japan,1.58500799959745,1.4667320665653196,-0.5109104882803494,-6.652065354145842,-16.798105822327322
war,buildup,2022 Russia invades Ukraine,AsiaExJapan,1.180534431800432,-0.09291734985875023,-0.8518585034796948,-5.689864495103988,-17.449725020630535
war,buildup,2022 Russia invades Ukraine,India,7.558597379111707,0.06001556433129777,-3.3970481684651146,-10.691727555382773,-13.102024852249972
war,buildup,2022 Russia invades Ukraine,Europe,-0.355907319031684,2.7426940584745965,-3.210653689951984,-3.7159881438555726,-15.22132515547726
war,buildup,2022 Russia invades Ukraine,Bonds,-1.3203191446275484,0.5856502346773965,0.2744497838062895,-4.299463014256076,-14.655654947159872
