cohort,series,horizon,median,hit_rate_pos,n
pres_hold,Japan,+20,2.1739965225781455,1.0,3
pres_hold,Japan,pre20,-0.7662839145770322,0.3333333333333333,3
pres_hold,Japan,+60,5.532703268027715,0.6666666666666666,3
pres_hold,Japan,pre60,-1.3100611087858245,0.3333333333333333,3
pres_hold,Japan,+120,0.9930511209213517,0.6666666666666666,3
pres_hold,Japan,pre120,0.6615285258266366,0.6666666666666666,3
pres_hold,Taiwan,+20,5.142315227200987,1.0,2
pres_hold,Taiwan,pre20,-4.352990935904689,0.0,2
pres_hold,Taiwan,+60,4.718073189505092,1.0,2
pres_hold,Taiwan,pre60,5.837458717856537,1.0,2
pres_hold,Taiwan,+120,5.874109517205396,1.0,2
pres_hold,Taiwan,pre120,1.5576482319189229,0.5,2
pres_hold,Bonds,+20,-0.24018984260862275,0.5,2
pres_hold,Bonds,pre20,0.4407363227462219,1.0,2
pres_hold,Bonds,+60,-0.5580013688476836,0.5,2
pres_hold,Bonds,pre60,0.33667624423002335,0.5,2
pres_hold,Bonds,+120,0.727922755889458,1.0,2
pres_hold,Bonds,pre120,3.136972099403767,1.0,2
pres_hold,Gold,+20,-1.2654642416236652,0.0,1
pres_hold,Gold,pre20,-3.7607215044453253,0.0,1
pres_hold,Gold,+60,-2.60858157413157,0.0,1
pres_hold,Gold,pre60,5.79336661550135,1.0,1
pres_hold,Gold,+120,-16.357622248216007,0.0,1
pres_hold,Gold,pre120,10.602608829477518,1.0,1
pres_hold,EM_minus_US,+20,2.812000597092644,1.0,2
pres_hold,EM_minus_US,pre20,1.9282426157925874,1.0,2
pres_hold,EM_minus_US,+60,3.2166740429926373,0.5,2
pres_hold,EM_minus_US,pre60,5.554427689919702,1.0,2
pres_hold,EM_minus_US,+120,0.8140175715455271,0.5,2
pres_hold,EM_minus_US,pre120,7.112783978991379,1.0,2
pres_hold,China_minus_US,+20,1.179957657384404,1.0,1
pres_hold,China_minus_US,pre20,9.61205620135911,1.0,1
pres_hold,China_minus_US,+60,1.1675966176293073,1.0,1
pres_hold,China_minus_US,pre60,6.999615178758254,1.0,1
pres_hold,China_minus_US,+120,-12.254265883393625,0.0,1
pres_hold,China_minus_US,pre120,3.3665918377186363,1.0,1
pres_hold,Europe_minus_US,+20,3.2006878348596812,1.0,2
pres_hold,Europe_minus_US,pre20,2.422939188656356,1.0,2
pres_hold,Europe_minus_US,+60,2.285131765912619,1.0,2
pres_hold,Europe_minus_US,pre60,5.513967898708827,1.0,2
pres_hold,Europe_minus_US,+120,1.2258742631083908,0.5,2
pres_hold,Europe_minus_US,pre120,6.507962655151202,1.0,2
pres_hold,flow_US,+4,2.3858795717536596,1.0,2
pres_hold,flow_US,pre4,0.990498219555243,0.5,2
pres_hold,flow_US,+13,9.89164582872691,1.0,2
pres_hold,flow_US,pre13,2.500014219136325,1.0,2
pres_hold,flow_US,+26,17.413429108508968,1.0,2
pres_hold,flow_US,pre26,13.116763771624079,1.0,2
pres_hold,flow_EM,+4,11.122357668639633,1.0,2
pres_hold,flow_EM,pre4,13.845141366805098,1.0,2
pres_hold,flow_EM,+13,24.346846625523348,1.0,2
pres_hold,flow_EM,pre13,17.30808385619064,1.0,2
pres_hold,flow_EM,+26,23.485307600845303,1.0,2
pres_hold,flow_EM,pre26,19.5633017674837,1.0,2
pres_hold,flow_China,+4,10.6053512563767,1.0,1
pres_hold,flow_China,pre4,21.382715613330042,1.0,1
pres_hold,flow_China,+13,32.94932638098034,1.0,1
pres_hold,flow_China,pre13,24.528243644757634,1.0,1
pres_hold,flow_China,+26,16.89720701255997,1.0,1
pres_hold,flow_China,pre26,6.465024150793921,1.0,1
pres_hold,flow_Europe,+4,4.954472118688699,0.6666666666666666,3
pres_hold,flow_Europe,pre4,1.0728989649811975,0.6666666666666666,3
pres_hold,flow_Europe,+13,12.630877415942233,1.0,3
pres_hold,flow_Europe,pre13,24.16386086505936,1.0,3
pres_hold,flow_Europe,+26,15.072305546654473,0.6666666666666666,3
pres_hold,flow_Europe,pre26,29.489592151113644,1.0,3
pres_hold,flow_Bonds,+4,8.571325212670159,0.5,2
pres_hold,flow_Bonds,pre4,-3.6736285976445227,0.5,2
pres_hold,flow_Bonds,+13,18.416608505202483,0.5,2
pres_hold,flow_Bonds,pre13,2.7340795870827455,0.5,2
pres_hold,flow_Bonds,+26,35.03256440150157,1.0,2
pres_hold,flow_Bonds,pre26,13.45668696938691,1.0,2
pres_hold,flow_Gold,+4,2.5122547610758375,1.0,1
pres_hold,flow_Gold,pre4,2.7007183545352973,1.0,1
pres_hold,flow_Gold,+13,4.740069552259055,1.0,1
pres_hold,flow_Gold,pre13,13.52102310596813,1.0,1
pres_hold,flow_Gold,+26,-6.928961826299881,0.0,1
pres_hold,flow_Gold,pre26,16.620932422681104,1.0,1
pres_hold,flow_Cash,+4,-6.937590982372864,0.0,1
