scenario,month,year,nav_per_share,price_nav_multiple,premium_to_nav,modeled_price,total_return,annualized_return,description
Private Access Base,115,9.583333333333334,43.13390230203835,2.1303579571363427,1.1303579571363427,91.89065199148901,1.451071005374473,0.0980659911528825,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,116,9.666666666666666,43.80485433698539,2.1042863657090742,1.1042863657090742,92.17795773319037,1.458734535427857,0.09753516939215134,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,117,9.75,44.4862430959285,2.078214774281806,1.0782147742818058,92.4519676542506,1.4660434156908666,0.09699639877358801,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,118,9.833333333333334,45.17823092312195,2.0521431828545373,1.0521431828545373,92.71219860231277,1.472984758663984,0.09644946754715567,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,119,9.916666666666666,45.88098268810065,2.0260715914272684,1.0260715914272684,92.95815561112704,1.4795453617265149,0.09589415567173276,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
Private Access Base,120,10.0,46.594665824961105,2.0,1.0,93.18933164992221,1.4857117004513793,0.09533023438194888,"Robotics works, private access deserves a premium, but the extreme first-month premium compresses."
MSTR Replay Multiple,0,0.0,7.31,5.128590971272231,4.128590971272231,37.49,0.0,0.0,BOT NAV compounds while its premium/multiple follows MSTR's observed relative mNAV path.
MSTR Replay Multiple,1,0.08333333333333333,7.471569994704876,4.407636296692215,3.407636296692215,32.931963101937676,-0.12158007196752008,-0.7889301718024776,BOT NAV compounds while its premium/multiple follows MSTR's observed relative mNAV path.
MSTR Replay Multiple,2,0.16666666666666666,7.636711106125066,4.837763642499375,3.8377636424993753,36.94460333748303,-0.01454779041122889,-0.08417307878407654,BOT NAV compounds while its premium/multiple follows MSTR's observed relative mNAV path.
MSTR Replay Multiple,3,0.25,7.805502265219362,5.491517654324243,4.491517654324243,42.864053490319996,0.14334631876020265,0.7088785212700994,BOT NAV compounds while its premium/multiple follows MSTR's observed relative mNAV path.
MSTR Replay Multiple,4,0.3333333333333333,7.978024147525845,4.788612908694022,3.788612908694022,38.20366941871488,0.01903626083528609,0.058202818531104095,BOT NAV compounds while its premium/multiple follows MSTR's observed relative mNAV path.
MSTR Replay Multiple,5,0.4166666666666667,8.154359211721623,5.057535085591843,4.057535085591843,41.240957813801145,0.10005222229397548,0.2571639722255843,BOT NAV compounds while its premium/multiple follows MSTR's observed relative mNAV path.
MSTR Replay Multiple,6,0.5,8.334591739034828,4.502544674951443,3.5025446749514426,37.526871652485546,0.0009835063346370632,0.0019679799539844556,BOT NAV compounds while its premium/multiple follows MSTR's observed relative mNAV path.
MSTR Replay Multiple,7,0.5833333333333334,8.518807873527738,3.890478575976187,2.890478575976187,33.14223952481692,-0.11597120499288027,-0.19047897342691245,BOT NAV compounds while its premium/multiple follows MSTR's observed relative mNAV path.
