date,open,high,low,close,volume,quote_volume,trades
2024-12-02,3.43700000,3.47200000,2.99400000,3.11900000,66660293.55000000,209539702.79737000,1735125
2024-12-03,3.11900000,3.36500000,2.92000000,3.27700000,86115727.30000000,272479222.04333000,1863991
2024-12-04,3.27800000,3.43000000,3.10900000,3.19400000,59178470.77000000,194347236.26439000,2095900
2024-12-05,3.19400000,3.44300000,3.03600000,3.34600000,72607481.81000000,237290559.03098000,3198831
2024-12-06,3.34700000,3.60200000,3.26900000,3.48400000,71826612.25000000,247995946.38436000,1896347
2024-12-07,3.48500000,4.01400000,3.40100000,3.87900000,69506232.98000000,259074379.07567000,1606742
2024-12-08,3.88000000,3.93200000,3.63900000,3.71700000,40115854.15000000,150813304.34168000,1748419
2024-12-09,3.71700000,3.72000000,2.56500000,3.04800000,127622160.88000000,414398639.54861000,4528354
2024-12-10,3.04800000,3.14200000,2.64200000,2.84600000,98327926.28000000,280917802.08502000,2199664
2024-12-11,2.84500000,3.13300000,2.75600000,3.04600000,51748412.87000000,153761851.97166000,1472145
2024-12-12,3.04700000,3.19700000,2.93100000,2.94700000,45450895.56000000,139652786.02572000,1876071
2024-12-13,2.94800000,3.00400000,2.84600000,2.95800000,31424700.34000000,91919644.21341000,1091704
2024-12-14,2.95700000,2.97800000,2.75700000,2.84400000,26274774.44000000,75505686.30742000,1045509
2024-12-15,2.84400000,2.89000000,2.70100000,2.85500000,23031755.15000000,64784050.12347000,726596
2024-12-16,2.85600000,2.92800000,2.63200000,2.74500000,42092654.42000000,115995183.95917000,1178701
2024-12-17,2.74500000,2.87300000,2.67100000,2.71100000,45175466.54000000,125231104.96086000,1547868
2024-12-18,2.71200000,2.78400000,2.23600000,2.30600000,91925244.56000000,227585152.32702000,1445338
2024-12-19,2.30500000,2.32600000,2.02400000,2.06700000,117902378.30000000,256352086.55882000,1397340
2024-12-20,2.06700000,2.16100000,1.72500000,2.10700000,124019802.49000000,237435473.58093000,1159933
2024-12-21,2.10700000,2.25300000,1.85800000,1.88900000,60399447.13000000,123508593.31663000,684266
2024-12-22,1.89000000,2.04200000,1.81400000,1.91800000,62263321.12000000,119733516.16515000,758083
2024-12-23,1.91800000,2.05200000,1.84600000,2.03100000,62323185.40000000,120206233.35432000,594220
2024-12-24,2.03000000,2.09900000,1.94900000,2.05100000,35430264.54000000,71773019.19528000,488262
2024-12-25,2.05000000,2.08300000,1.94200000,1.98000000,25443122.03000000,51216934.14073000,490082
2024-12-26,1.98100000,2.00900000,1.81600000,1.84000000,28491693.30000000,53614377.85658000,497767
2024-12-27,1.83900000,1.93600000,1.79700000,1.82700000,26987240.34000000,50188922.79726000,555307
2024-12-28,1.82800000,1.97500000,1.80000000,1.92600000,26197478.18000000,49505280.46884000,449807
2024-12-29,1.92600000,1.95300000,1.81700000,1.83500000,17193025.15000000,32356474.35017000,283495
2024-12-30,1.83500000,1.93600000,1.78200000,1.82600000,35546565.16000000,66194367.08702000,561864
